ID,Host Type,Repository Name with Owner,Repository ID,Manifest Platform,Manifest Filepath,Git branch,Manifest kind,Optional,Dependency Project Name,Dependency Requirements,Dependency Kind,Dependency Project ID
176459138,GitHub,prtcl/plonk,709,npm,package.json,,manifest,,electron,^1.4.13,development,143927
116630624,GitHub,HeinrichApfelmus/threepenny-gui,6786,npm,doc/electron/package.json,,manifest,,electron,^1.6.1,runtime,143927
198836803,GitHub,ractivejs/ractive,10333,npm,package.json,,manifest,,electron,^1.7.8,development,143927
116054036,GitHub,mrdoob/three.js,10369,npm,package.json,,manifest,,electron,^1.6.1,development,143927
191462158,GitHub,AnalyticalGraphicsInc/cesium,15755,npm,package.json,,manifest,,electron,^1.6.1,development,143927
197918707,GitHub,DefinitelyTyped/DefinitelyTyped,17029,npm,types/electron-json-storage/package.json,,manifest,,electron,^1.7.5,runtime,143927
214360262,GitHub,DefinitelyTyped/DefinitelyTyped,17029,npm,types/electron-notifications/package.json,,manifest,,electron,^1.7.5,runtime,143927
214360303,GitHub,DefinitelyTyped/DefinitelyTyped,17029,npm,types/electron-notify/package.json,,manifest,,electron,^1.7.5,runtime,143927
214360371,GitHub,DefinitelyTyped/DefinitelyTyped,17029,npm,types/electron-window-state/package.json,,manifest,,electron,^1.7.5,runtime,143927
218684921,GitHub,DefinitelyTyped/DefinitelyTyped,17029,npm,types/menubar/package.json,,manifest,,electron,^1.6.11,runtime,143927
103372145,GitHub,TTLabs/EvaporateJS,18038,npm,example/electron/package.json,,manifest,,electron,^1.4.1,development,143927
174601276,GitHub,firstandthird/formjax,18847,npm,package-lock.json,,lockfile,,electron,1.7.5,runtime,143927
197245674,GitHub,SheetJS/js-xlsx,30333,npm,demos/electron/package.json,,manifest,,electron,~1.7.x,runtime,143927
195879136,GitHub,pixijs/pixi.js,31319,npm,package.json,,manifest,,electron,^1.4.15,development,143927
212190193,GitHub,pixijs/pixi.js,31319,npm,package.json,,manifest,,electron,^1.4.15,development,143927
86265629,GitHub,rosiejs/rosie,32845,NPM,package.json,,manifest,,electron,^1.3.4,development,143927
121054074,GitHub,dchest/tweetnacl-js,35593,npm,package.json,,manifest,,electron,^1.4.12,development,143927
121939495,GitHub,dchest/tweetnacl-js,35593,npm,package.json,,manifest,,electron,^1.4.12,development,143927
207855916,GitHub,webtorrent/webtorrent,36441,npm,package.json,,manifest,,electron,^1.7.8,development,143927
48715870,GitHub,qualiancy/carbon,48962,NPM,package.json,,manifest,,electron,0.4.x,runtime,143927
135647302,GitHub,lukekarrys/ampersand-main-view,86813,npm,package.json,,manifest,,electron,^1.6.1,development,143927
111921482,GitHub,bokeh/bokeh,89766,npm,bokehjs/examples/electron/package.json,,manifest,,electron,^1.4.13,development,143927
50264320,GitHub,smebberson/commandant,92766,NPM,package.json,,manifest,,electron,~0.4.0,runtime,143927
117443496,GitHub,testem/testem,95048,npm,examples/electron/package.json,,manifest,,electron,1.4.13,development,143927
50452650,GitHub,vesln/depviz,95398,NPM,package.json,,manifest,,electron,~0.4.0,runtime,143927
208979666,GitHub,fortunejs/fortune,100357,npm,package-lock.json,,lockfile,,electron,1.7.9,runtime,143927
223469920,GitHub,TehShrike/hash-brown-router,106068,npm,package-lock.json,,lockfile,,electron,https://registry.npmjs.org/electron/-/electron-1.6.2.tgz,runtime,143927
168466340,GitHub,featurist/httpism,107106,npm,package.json,,manifest,,electron,^1.6.8,development,143927
144581316,GitHub,featurist/sworm,116352,npm,package.json,,manifest,,electron,1.6.11,development,143927
144578080,GitHub,featurist/sworm,116352,npm,package-lock.json,,lockfile,,electron,1.6.11,runtime,143927
145634638,GitHub,featurist/sworm,116352,npm,package-lock.json,,lockfile,,electron,1.6.11,runtime,143927
213630119,GitHub,featurist/hyperdom,122129,npm,package.json,,manifest,,electron,1.6.2,development,143927
214837086,GitHub,electron/asar,124150,npm,package.json,,manifest,,electron,^1.6.2,development,143927
43430235,GitHub,qualiancy/kinetik,138320,NPM,package.json,,manifest,,electron,0.2.x,runtime,143927
35232436,GitHub,logicalparadox/matcha,139536,NPM,package.json,,manifest,,electron,0.4.x,runtime,143927
213861098,GitHub,segmentio/nightmare,141016,npm,package.json,,manifest,,electron,1.7.6,runtime,143927
180880357,GitHub,TehShrike/noddity-retrieval,141123,npm,package-lock.json,,lockfile,,electron,https://registry.npmjs.org/electron/-/electron-1.6.1.tgz,runtime,143927
192954831,GitHub,olahol/react-social,146202,npm,package-lock.json,,lockfile,,electron,1.7.6,runtime,143927
206918168,GitHub,fergiemcdowall/search-index,150065,npm,package-lock.json,,lockfile,,electron,1.7.8,runtime,143927
105726000,GitHub,joshualloyd/silkscreen,151382,npm,package.json,,manifest,,electron,^1.6.2,development,143927
144142139,GitHub,feross/simple-peer,151607,npm,package-lock.json,,lockfile,,electron,1.6.11,runtime,143927
211470323,GitHub,cronvel/spellcast,153383,npm,package.json,,manifest,,electron,^1.7.5,development,143927
224088043,GitHub,atom/text-buffer,157062,npm,package.json,,manifest,,electron,1.6,development,143927
224073985,GitHub,atom/text-buffer,157062,npm,package-lock.json,,lockfile,,electron,1.6.12,runtime,143927
218021434,GitHub,Microsoft/TypeScript,159428,npm,tests/cases/user/electron/package.json,,manifest,,electron,latest,runtime,143927
196476049,GitHub,juliangruber/capture-screenshot,160183,npm,package-lock.json,,lockfile,,electron,1.7.6,runtime,143927
185568666,GitHub,francoislaberge/lifesized,178799,npm,package.json,,manifest,,electron,^1.7.6,development,143927
185568859,GitHub,francoislaberge/lifesized,178799,npm,yarn.lock,,lockfile,,electron,,runtime,143927
222520651,GitHub,yoshuawuyts/vmd,178968,npm,yarn.lock,,lockfile,,electron,,runtime,143927
222512914,GitHub,yoshuawuyts/vmd,178968,npm,package.json,,manifest,,electron,^1.7.5,runtime,143927
173171530,GitHub,yoshuawuyts/vmd,178968,npm,yarn.lock,,lockfile,,electron,,runtime,143927
211532095,GitHub,yoshuawuyts/vmd,178968,npm,package.json,,manifest,,electron,^1.7.5,runtime,143927
50471525,GitHub,logicalparadox/geek,189260,NPM,package.json,,manifest,,electron,0.3.x,runtime,143927
50471596,GitHub,logicalparadox/gryn,189501,NPM,package.json,,manifest,,electron,0.4.x,runtime,143927
192848752,GitHub,peterdemartini/html5-to-pdf,192071,npm,package-lock.json,,lockfile,,electron,1.7.5,runtime,143927
192849269,GitHub,peterdemartini/html5-to-pdf,192071,npm,yarn.lock,,lockfile,,electron,,runtime,143927
121893215,GitHub,bitovi/launchpad,192208,npm,package.json,,manifest,,electron,^1.6.6,development,143927
162948267,GitHub,upfrontIO/srcissors,195712,npm,package.json,,manifest,,electron,^1.4.15,development,143927
194658301,GitHub,mobxjs/mobx,368038,npm,yarn.lock,,lockfile,,electron,,runtime,143927
107075231,GitHub,electron-userland/electron-packager,368197,npm,test/fixtures/basic-renamed-to-electron/package.json,,manifest,,electron,1.3.1,development,143927
107075377,GitHub,electron-userland/electron-packager,368197,npm,test/fixtures/infer-missing-version-only/package.json,,manifest,,electron,1.3.1,development,143927
165511863,GitHub,ipfs/js-ipfs,383073,npm,examples/run-in-electron/package.json,,manifest,,electron,~1.6.11,development,143927
86311118,GitHub,yhat/rodeo,385065,NPM,package.json,,manifest,,electron,^1.4.6,development,143927
196680452,GitHub,nodeca/navit,387278,npm,package.json,,manifest,,electron,^1.7.2,development,143927
104492497,GitHub,TerriaJS/cesium,390086,npm,package.json,,manifest,,electron,1.4.3,development,143927
73610969,GitHub,thesbros/gulp-run-electron,391343,NPM,package.json,,manifest,,electron,*,peer,143927
86311179,GitHub,lightning-viz/lightning,396093,NPM,package.json,,manifest,,electron,^0.4.1,development,143927
167334708,GitHub,electron/electron-rebuild,398355,npm,package.json,,manifest,,electron,^1.4.13,development,143927
211727421,GitHub,luin/ioredis,399026,npm,package-lock.json,,lockfile,,electron,0.4.1,runtime,143927
98310245,GitHub,lele85/karma-electron-launcher,455242,NPM,package.json,,manifest,,electron,>=1.3.1,peer,143927
214272354,GitHub,twolfson/google-music-electron,460219,npm,package.json,,manifest,,electron,~1.6.2,runtime,143927
76288968,GitHub,nodeca/nodeca,494520,NPM,package.json,,manifest,,electron,^1.4.4,development,143927
220296047,GitHub,facebook/react-devtools,523926,npm,packages/react-devtools/package.json,,manifest,,electron,^1.4.15,runtime,143927
121955368,GitHub,0x00A/node-chrome,582048,npm,package.json,,manifest,,electron,^1.4.10,runtime,143927
121973969,GitHub,0x00A/node-chrome,582048,npm,yarn.lock,,lockfile,,electron,,runtime,143927
198092255,GitHub,eclipse/orion.client,637714,npm,modules/orionode/package.json,,manifest,,electron,1.4.10,development,143927
122007132,GitHub,artsy/force,638833,npm,package.json,,manifest,,electron,^1.6.6,development,143927
118341757,GitHub,artsy/force,638833,npm,package.json,,manifest,,electron,^1.6.6,development,143927
221178436,GitHub,viltgroup/minium-developer,669328,npm,minium-developer-bundle/src/main/resources/electron-app/package.json,,manifest,,electron,^1.4.7,runtime,143927
105313521,GitHub,openplans/ratmapper,730403,npm,package.json,,manifest,,electron,^1.4.15,development,143927
184390422,GitHub,ipfs/js-ipfsd-ctl,777966,npm,examples/electron-asar/package.json,,manifest,,electron,^1.7.6,development,143927
1429818,GitHub,smallstoneapps/rolling-stone,791682,npm,package.json,,,,electron,^0.4.1,runtime,143927
163434722,GitHub,sindresorhus/electron-debug,800406,npm,package.json,,manifest,,electron,^1.3.3,development,143927
158547411,GitHub,sasaplus1/ipc-promise,805696,npm,package.json,,manifest,,electron,^1.4.2,development,143927
76322981,GitHub,poooi/poi,845836,NPM,package.json,,manifest,,electron,^1.4.4,development,143927
148576428,GitHub,nehbit/aether-public,846186,npm,Aether 2/aether-core/frontend/aether-desktop-fe/package.json,,manifest,,electron,^1.3.1,development,143927
76320697,GitHub,salomvary/soundcleod,846907,NPM,package.json,,manifest,,electron,^1.4.4,development,143927
198765018,GitHub,bridgedotnet/Demos,865683,npm,TwitterElectron/TwitterElectron/App/package.json,,manifest,,electron,^1.7.6,runtime,143927
198765100,GitHub,bridgedotnet/Demos,865683,npm,TwitterElectron/TwitterElectron/package-lock.json,,lockfile,,electron,1.8.0,runtime,143927
156603665,GitHub,os-js/OS.js,888931,npm,src/templates/distro/electron/package.json,,manifest,,electron,^1.4.1,development,143927
187696544,GitHub,Fauntleroy/react-simple-dropdown,899647,npm,package.json,,manifest,,electron,^1.6.2,development,143927
224242663,GitHub,nteract/nteract,910923,npm,packages/desktop/package.json,,manifest,,electron,~1.7.6,development,143927
160669835,GitHub,volkovasystems/harden,919895,npm,yarn.lock,,lockfile,,electron,,runtime,143927
160665590,GitHub,volkovasystems/harden,919895,npm,package.json,,manifest,,electron,^1.6.11,development,143927
174868340,GitHub,s-a/iron-node,924598,npm,package.json,,manifest,,electron,^1.7.5,runtime,143927
121992729,GitHub,azu/electron-zip-packager,932445,npm,example/yarn.lock,,lockfile,,electron,,runtime,143927
122057290,GitHub,azu/electron-zip-packager,932445,npm,yarn.lock,,lockfile,,electron,,runtime,143927
107446521,GitHub,azu/electron-zip-packager,932445,npm,example/package.json,,manifest,,electron,^1.6.2,runtime,143927
107446603,GitHub,azu/electron-zip-packager,932445,npm,package.json,,manifest,,electron,^1.6.2,runtime,143927
219694815,GitHub,atom/etch,946503,npm,package.json,,manifest,,electron,1.3.13,development,143927
106191547,GitHub,Kitware/arctic-viewer,966138,npm,electron/package.json,,manifest,,electron,1.4.1,runtime,143927
100417011,GitHub,rhysd/YourFukurou,967006,npm,package.json,,manifest,,electron,^1.4.5,runtime,143927
136459255,GitHub,TehShrike/sausage-router,967237,npm,package-lock.json,,lockfile,,electron,https://registry.npmjs.org/electron/-/electron-1.6.8.tgz,runtime,143927
156204370,GitHub,riot/route,971634,npm,package-lock.json,,lockfile,,electron,1.6.11,runtime,143927
156204692,GitHub,riot/route,971634,npm,package.json,,manifest,,electron,^1.6.11,development,143927
214282881,GitHub,fraserxu/electron-pdf,971962,npm,package.json,,manifest,,electron,1.4.15,runtime,143927
86222428,GitHub,keokilee/react-electron-webview,976303,NPM,package.json,,manifest,,electron,^1.4.7,development,143927
86222698,GitHub,keokilee/react-electron-webview,976303,NPM,package.json,,manifest,,electron,^1.0.0,peer,143927
122034694,GitHub,keokilee/react-electron-webview,976303,npm,package.json,,manifest,,electron,^1.4.7,development,143927
121253319,GitHub,EMGroup/js-eden,1066564,npm,package.json,,manifest,,electron,~1.6.2,runtime,143927
121253326,GitHub,EMGroup/js-eden,1066564,npm,package.json,,manifest,,electron,~1.6.2,development,143927
157620007,GitHub,HospitalRun/hospitalrun-frontend,1099942,npm,yarn.lock,,lockfile,,electron,,runtime,143927
194614604,GitHub,mobxjs/mobx-react,1123448,npm,yarn.lock,,lockfile,,electron,,runtime,143927
214890923,GitHub,mobxjs/mobx-react,1123448,npm,yarn.lock,,lockfile,,electron,,runtime,143927
121740244,GitHub,muan/mojibar,1142901,npm,package.json,,manifest,,electron,^1.6.0,development,143927
141982388,GitHub,greggman/HappyFunTimes,1153079,npm,package.json,,manifest,,electron,1.4.5,development,143927
92846478,GitHub,Paxa/postbird,1154637,NPM,package.json,,manifest,,electron,^1.4.12,development,143927
112242420,GitHub,chentsulin/electron-react-boilerplate,1176535,npm,package.json,,manifest,,electron,^1.6.2,development,143927
108113085,GitHub,mcous/resume,1191600,npm,package.json,,manifest,,electron,^1.6.2,development,143927
160206347,GitHub,Osmose/moseamp,1211422,npm,package.json,,manifest,,electron,^1.6.6,runtime,143927
104772172,GitHub,andy722/commit-graph,1216865,npm,package.json,,manifest,,electron,^1.4.5,development,143927
141298311,GitHub,sqlectron/sqlectron-gui,1249630,npm,package.json,,manifest,,electron,^1.4.15,development,143927
117220963,GitHub,sassy/hashire,1255523,npm,package.json,,manifest,,electron,^1.4.5,runtime,143927
5948794,GitHub,mohebifar/goron,1255625,npm,package.json,,,,electron,^0.4.1,runtime,143927
86114336,GitHub,expo/xde,1257407,NPM,package.json,,manifest,,electron,1.4.6,development,143927
203756287,GitHub,cncjs/cncjs,1309457,npm,package.json,,manifest,,electron,~1.7.9,development,143927
5801470,GitHub,pgherveou/kinetik,1312884,npm,package.json,,,,electron,0.2.x,runtime,143927
86329587,GitHub,sindresorhus/caprine,1320057,NPM,package.json,,manifest,,electron,^1.4.7,development,143927
104891984,GitLab,sukima/escape-room-mainframe,1701943,npm,package.json,,manifest,,electron,1.4.12,development,143927
204353895,GitHub,TimelordUK/node-sqlserver-v8,1842772,npm,package-lock.json,,lockfile,,electron,1.8.1,runtime,143927
204357737,GitHub,TimelordUK/node-sqlserver-v8,1842772,npm,package.json,,manifest,,electron,^1.8.1,development,143927
93215885,GitHub,ragingwind/devdogs,2155522,NPM,package.json,,manifest,,electron,^1.4.8,development,143927
93215537,GitHub,ragingwind/electron-menu-loader,2364899,NPM,package.json,,manifest,,electron,^1.4.8,development,143927
192224303,GitHub,francoislaberge/diagrams,2457614,npm,package.json,,manifest,,electron,1.3.1,runtime,143927
171154029,GitHub,Quramy/electron-connect,2568071,npm,package.json,,manifest,,electron,^1.6.11,development,143927
119682046,GitHub,EragonJ/Kaku,2569515,npm,package.json,,manifest,,electron,^1.3.4,development,143927
86332730,GitHub,OpenBazaar/OpenBazaar-Client,2569998,NPM,package.json,,manifest,,electron,^1.4.4,development,143927
76347169,GitHub,szwacz/electron-boilerplate,2571934,NPM,package.json,,manifest,,electron,1.3.3,development,143927
104558990,GitLab,krks_gbr/glyphcollector-electron,2575328,npm,package.json,,manifest,,electron,^1.3.4,development,143927
122079629,GitHub,buttercup/buttercup-desktop,2588534,npm,package.json,,manifest,,electron,^1.6.6,development,143927
92880418,GitHub,buttercup/buttercup-desktop,2588534,NPM,package.json,,manifest,,electron,^1.4.12,development,143927
186322056,GitHub,d3plus/d3plus-shape,2588754,npm,package-lock.json,,lockfile,,electron,1.7.5,runtime,143927
152549591,GitHub,electron/spectron,2597911,npm,package.json,,manifest,,electron,~1.7.4,development,143927
161347324,GitHub,mixu/electroshot,2684571,npm,package.json,,manifest,,electron,~1.6.11,runtime,143927
213831204,GitHub,electron/electron-quick-start,2687912,npm,package.json,,manifest,,electron,~1.7.8,development,143927
117773242,GitHub,evancohen/smart-mirror,2692575,npm,package.json,,manifest,,electron,^1.4.4,development,143927
12275135,GitHub,CWIInnovation/electron-hello-world,2703216,npm,package.json,,,,electron,^0.4.1,runtime,143927
221214950,GitHub,mborik/SAA1099Tracker,2703434,npm,package.json,,manifest,,electron,^1.4.15,development,143927
222027145,GitHub,fponticelli/hxelectron,2707179,npm,demo/bin/package.json,,manifest,,electron,^1.7.9,development,143927
213758396,GitHub,sulu-one/sulu,2707407,npm,package.json,,manifest,,electron,^1.4.12,development,143927
141485906,GitHub,bjrmatos/electron-workers,2789447,npm,package-lock.json,,lockfile,,electron,https://registry.npmjs.org/electron/-/electron-1.6.6.tgz,runtime,143927
141486169,GitHub,bjrmatos/electron-workers,2789447,npm,package.json,,manifest,,electron,1.6.6,development,143927
147936224,GitHub,bjrmatos/electron-html-to,2792319,npm,package-lock.json,,lockfile,,electron,https://registry.npmjs.org/electron/-/electron-1.6.6.tgz,runtime,143927
